id,name,type,practicidad,notes,mgTotal,priceSingle,sizeSingle,unitSingle,servings,mgServing,priceMulti,weightServing,pillsCount,mgPill,pricePill,weightPill,pouchCount,mgPouch,pricePouch,weightPouch,mgBrew,priceBrew,sizeBrew,unitBrew,score_practicidad,score_precio,score_potencia,pricePerMg_raw,potencia_raw
mpryxmaqm76mniyvd4,Lyvwell 5pack var,pouch,5,Dificil de conseguir en mèxico,,,,,,,,,,,,,16,200,181.6,0,,,,,5,4,5,0.0567,200.0000
mpryuaf0t37a6abfjkf,Monster,energy,4,Mejor sabor de todos,150,40,500,mL,,,,,,,,,,,,,,,,,4,3,1,0.2667,0.3000
